"hospital_clave","hospital_nombre","categoria","clave","descripcion","stock","minimo","fecha","dias_restantes"
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","S/C","CAJA METALICA CON TAPA PARA INSTRUMENTAL 20 X 10 X 4.5 CM",0,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.025.0069","ALVEOLOTOMO MEAD PINZA GUBIA LONGITUD 17CM",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.065.0052","APLICADOR DE HIDROXIDO DE CALCIO",5,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.079.0015","ARCO YOUNG PORTA DIQUE DE HULE",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","535.260.2154","CUCHARILLA LUCAS DE DOBLE EXTREMO 17CM DE LONGITUD",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.251.0098","CURETA. CURETA CK-6 DE DOBLE EXTREMO",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","535.137.0035","BISTURÍ QUIRÚRGICO. MANGO N° 3, CON ESCALA",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.105.0179","BISTURÍ GOLDMAN FOX. NO.7",0,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.151.0016","BOTA FRESA. BOTA FRESA BRODEN: ADITAMIENTO PARA PIEZA DE MANO DE ALTA VELOCIDAD",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.147.0017","BUDINERA DE ACERO INOXIDABLE 25 X 16 CM Y 700 ML.",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.251.0015","CURETA. CURETA MC CALL DERECHA E IZQUIERDA. JUEGO.",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.0452","ELEVADOR BEIN CON MANGO METALICO RECTO ACANALADO DE 2 O 3 MM ANCHO DE HOJA",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.0551","ELEVADOR BUCO DENTOMAXILAR. ELEVADOR APICAL FLOHR CON MANGO METALICO CON BRAZO ANGULAR EXTREMO FINO Y CORTO DERECHO",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.0700","ELEVADOR BUCO DENTOMAXILAR. ELEVADOR APLICAR FLOHR CON MANGO METALICO CON BRAZO ANGULAR EXTREMO FINO Y CORTO IZQUIERDO",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.2664","ELEVADOR BUCO DENTOMAXILAR. ELEVADOR BEIN CON MANGO METALICO RECTO ACALANADO DE 4MM. ANCHO DE HOJA.",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.0957","ELEVADOR BUCO DENTOMAXILAR. ELEVADOR TIPO CRYER WHITE DE BANDERA DERECHO CON MANGO METALICO EXTREMO EN ANGULO OBTUSO Y HOJA PEQUEÑA",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.1104","ELEVADOR BUCO DENTOMAXILAR. ELEVADOR TIPO CRYER WHITE DE BANDERA IZQUIERDO CON MANGO METALICO EXTREMO EN ANGULO OBTUSO Y HOJA PEQUEÑA",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.1534","ELEVADOR SELDIN DE BANDERA DERECHO MANGO METALICO EXTREMO EN ANGULO RECTO HOJA GRANDE",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.1609","ELEVADOR SELDIN DE BANDERA IZQUIERDO MANGO METALICO EXTREMO EN ANGULO RECTO HOJA GRANDE",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.2805","ELEVADOR SELDIN, CON MANGO METÁLICO DE BANDERA, EXTREMO EN ÁNGULO RECTO, CON HOJA PEQUEÑA DERECHA.",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.327.2813","ELEVADOR SELDIN, CON MANGO METÁLICO DE BANDERA, EXTREMO EN ÁNGULO RECTO, CON HOJA PEQUEÑA IZQUIERDA",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.370.0029","ESPÁTULA METÁLICA DEL No.3 DE DOBLE EXTREMO UNO RECTANGULAR Y OTRO DE PUNTA DE LANZA",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.370.0128","ESPÁTULA PARA RESINA, DE PLÁSTICO, CON DOBLE PUNTA DE TRABAJO",1,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.383.0081","ESPEJO DENTAL ROSCA SENCILLA PLANO SIN AUMENTO NO.5",20,0,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.397.0168","EXCAVADOR TIPO WHITE No.17",10,5,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.397.0150","EXCAVADOR TIPO WHITE No.5",10,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.409.0531","EXPLORADOR. EXPLORADOR DE UNA PIEZA CON DOBLE EXTREMO NO.5",10,3,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0015","FÓRCEPS DENTAL TIPO KLEIN, INFANTIL No. 151 1/2 S",0,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0189","FÓRCEPS NO. 151",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0221","FÓRCEPS NO.101",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0197","FÓRCEPS NO.150",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0171","FÓRCEPS NO.17",1,1,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0460","FÓRCEPS NO.53 DERECHO",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0270","FÓRCEPS NO.53 IZQUIERDO",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0155","FÓRCEPS NO.65",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0411","FÓRCEPS NO.69",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0205","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 151 B",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0726","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 210",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0734","FÓRCEPS PARA ODONTECTOMÍAS DEL No. 222",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0544","FÓRCEPS PARA ODONTECTOMÍAS TIPO KLEIN, DEL No. 3",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0502","FÓRCEPS PARA ODONTECTOMÍAS TIPO KLEIN, DEL No. 6",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.426.0023","FÓRCEPS. NO 23.",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.547.0019","JERINGA CARPULE CON ADAPTADOR PARA AGUJA DESECHABLE CALIBRE 27 LARFA O CORTA ENTRADA UNIVERSAL O ESTADAR. HENDIDURA PARA INTRODUCIR CARTUCHO DE ANESTESICO DESECHABLE DE 1.8ML DOS ALETAS EN EL CUERPO PARA APOYAR INDICE Y MEDIO. EMBOLO CON ANILLO PARA EL DEDO PULGAR Y ESPIRAL AGUDA EN EL EXTREMO O PUESTO (EN CONTACTO CON LA GOMA DEL CARTUCHO).",10,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","S/C","JUEGO DE ALGODONERA SUCIO Y LIMPIO. ENVASE DE ACERO",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","S/C","JUEGO DE 4 O 5 ESPATULAS PARA RESINA DE TEFLON DE DIFERENTES PUNTAS",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","S/C","JUEGO DE GRAPAS",2,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","535.567.0059","LEGRA MEAD MANGO RECTO DOBLE EXTREMO",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","S/C","JUEGO DE PROFILAXIS 8 INSTRUMENTOS",2,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.583.0105","LIMA MILLER O COLBURN, DOBLE EXTREMO No. 10c O No. 3, C/PUNTAS DE TRABAJO RECTANGULAR Y OVAL, ESTRÍAS HORIZONTALES",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.602.0409","MANGO PARA ESPEJO DENTAL METALICO MACIZO ROSCA SENCILLA",10,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.703.9598","PINZA COLLEGE O LONDON-COLLEGE TIPO BAYONETA LONGITUD DE 150 A 155 MM",10,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.703.7493","PINZA AINSWORTH LONGITUD DE 160 A 165 MM",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.702.0531","PINZA BREWER PORTA GRAPAS PARA DIQUE DE HULE LONGITUD DE 170 A 175MM",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","531.687.0012","PISTOLA APLICADORA DE CAPSULAS (PARA VIDRIO HIBRIO)",0,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","531.687.0012","PORTA ABATELENGUAS CON TAPA, DE ACERO INOXIDABLE",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","535.716.0190","PORTA AGUJA FINOCHIETO, LONGITUD 14.6 CM.",1,NULL,"2026-02-20",-54
"VZIM001794","Hospital de la Comunidad de Gutierrez Zamora","instrumental","537.719.0052","PORTA MATRIZ. PORTA MATRIZ PARA BANDA DE CELULOIDE",1,NULL,"2026-02-20",-54
