"hospital_nombre","categoria","clave","descripcion","stock","minimo","fecha","dias_restantes"
"Uneme de Platon Sanchez","bienesInformaticos","S/C","COMPUTADORA DE ESCRITORIO MEDIO RENDIMIENTO WINDOWS",1,1,"",NULL
"Uneme de Platon Sanchez","bienesInformaticos","S/C","EQUIPO MULTIFUNCIONAL LÁSER MONOCROMÁTICO",0,0,"",NULL
"Uneme de Platon Sanchez","bienesInformaticos","S/C","UNIDAD DE ENERGÍA ININTERRUMPIDA TIPO 3. INTERACTIVO, CAPACIDAD DE 500 VA/300 WATSS.",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","S/C","CÁMARA INTRAORAL DIGITAL.",1,NULL,"",NULL
"Uneme de Platon Sanchez","equipo","531.385.1080","ESTERILIZADOR CON VAPOR AUTOGENERADO PARA DENTAL Y MAXILOFACIAL",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","531.385.1080","ESTERILIZADOR CON VAPOR AUTOGENERADO PARA DENTAL Y MAXILOFACIAL",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","531.562.0020","LÁMPARA DE FOTOCURADO DE RESINAS Y CEMENTOS FOTOPOLIMERIZABLES",1,1,"",NULL
"Uneme de Platon Sanchez","equipo","531.601.0056","MANDIL EMPLOMADO",0,NULL,"",NULL
"Uneme de Platon Sanchez","equipo","531.032.0055","MEZCLADOR DE CÁPSULAS DENTALES, TIPO DOSIFICADOR-AMALGAMADOR (MEZCLA CÁPSULAS DE CEMENTO DE IONÓMERO DE VIDRIO Y OTROS CEMENTOS PREDOSIFICADOS EN CÁPSULAS) 4000 RPM",1,NULL,"",NULL
"Uneme de Platon Sanchez","equipo","537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",1,1,"",NULL
"Uneme de Platon Sanchez","equipo","537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",1,1,"",NULL
"Uneme de Platon Sanchez","equipo","437.480.0034","PIEZA DE MANO DE BAJA VELOCIDAD CON CONTRAÁNGULO",1,1,"",NULL
"Uneme de Platon Sanchez","equipo","531.695.0061","PORTA MANDIL",0,NULL,"",NULL
"Uneme de Platon Sanchez","equipo","531.786.0079","REVELADOR MANUAL DE PLACAS DENTALES",0,NULL,"",NULL
"Uneme de Platon Sanchez","equipo","S/C","TINA ULTRASÓNICA PARA ESTOMATOLOGÍA",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","S/C","TINA ULTRASÓNICA PARA ESTOMATOLOGÍA",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","S/C","TINA ULTRASÓNICA PARA ESTOMATOLOGÍA",0,0,"",NULL
"Uneme de Platon Sanchez","equipo","531.291.0028","UNIDAD ESTOMATOLÓGICA CON MÓDULO INTEGRADO",1,1,"",NULL
