hospital_clave,hospital_nombre,categoria,clave,descripcion,stock,minimo,fecha,dias_restantes
VZIM015545,Uneme de Platon Sanchez,material,060.491.0018,PAPELES. INDICADOR DE CONTACTO OCLUSAL. EN TIRAS con PEGAMENTO EN AMBAS CARAS. BLOCK CON 15 HOJAS.,10,3,16/08/2026,90
VZIM015545,Uneme de Platon Sanchez,material,060.066.0500,FLUORURO DE SODIO. PARA PREVENCIÓN DE CARIES. ACIDULADO AL 2%. EN GEL DE SABOR. ENVASE CON 480 ML.,8,1,31/10/2026,166
VZIM015545,Uneme de Platon Sanchez,material,060.182.1150,"CEMENTOS PROTECTOR PULPAR PARA SELLAR CAVIDADES DENTALES. DE HIDRÓXIDO DE CALCIO, COMPUESTO Y APLICADOR AUTOPOLIMERIZABLE, DOS PASTAS SEMILÍQUIDAS, BASE 13 G Y CATALIZADOR 11 G CON BLOQUE DE PAPEL PARA MEZCLAR.",7,1,10/02/2027,268
VZIM015545,Uneme de Platon Sanchez,material,060.182.0228,CEMENTOS. IONÓMERO DE VIDRIO. PARA TRATAMIENTO RESTAURATIVO ATRAUMÁTICO. POLVO: 10 G. SILICATO DE ALUMINIO 89 -95%. ÁCIDO POLIACRÍLICO 0.-10%. LÍQUIDO 6 G 4.8 ML AGUA DESTILADA. ÁCIDO POLIACRÍLICO 40 -50%. BARNIZ 5 G. CLORURO DE POLIVINIL 10 -20%. ACETATO ETÍLICO 75 -85%. ESTUCHE.4,4,1,28/02/2027,286
VZIM015545,Uneme de Platon Sanchez,material,060.182.0160,"CEMENTO: IONÓMERO DE VIDRIO I. PARA CEMENTACIONES DEFINITIVAS. POLVO 35 G. SILICATO DE ALUMINIO 95% -97%. ÁCIDO POLIACRÍLICO 3% - 5%. LÍQUIDO 25 G, 20 ML. ÁCIDO POLIACRÍLICO 75%. ÁCIDO POLIBÁSICO 10-15%. JUEGO.",6,1,31/03/2027,317
VZIM015545,Uneme de Platon Sanchez,material,060.182.0186,CEMENTOS. IONÓMERO DE VIDRIO RESTAURATIVO II. COLOR NO. 22. POLVO 15 G. SILICATO DE ALUMINIO 95% -97%. ÁCIDO POLIACRÍLICO 3% -5%. LÍQUIDO 10 G 8 ML. ÁCIDO POLIACRÍLICO 75%. ÁCIDO TARTÁRICO 10% - 15%. BARNIZ COMPATIBLE LÍQUIDO 10 G. JUEGO.,1,1,31/03/2027,317
VZIM015545,Uneme de Platon Sanchez,material,060.791.0114,RESINA. FOTOPOLIMERIZABLE PARA RESTAURACIÓN DE DIENTES ANTERIORES Y POSTERIORES. JERINGA 4G. LAS INSTITUCIONES PODRÁN ELEGIR LAS VARIANTES DE COLOR Y COMPOSICIÓN.,4,2,31/03/2027,317
VZIM015545,Uneme de Platon Sanchez,material,060.960.0024,RESTAURADOR EN BLOQUE DE VIDRIO HIBRIDO/CAPA AUTOADHESIVA FOTOPOLIMERISABLE (CEMENTO DENTAL DE RESINA COMPUESTA),2,NULL,09/04/2027,326
VZIM015545,Uneme de Platon Sanchez,material,060.066.1078,"BARNIZ DE FLUORURO DE SODIO AL 5% EN UNA CONCENTRACIÓN DE 22600 PPM AUTOPOLIMERIZABLE, EN UN VEHÍCULO DE RESINA MODIFICADO.",26,1,22/05/2027,369
VZIM015545,Uneme de Platon Sanchez,material,060.791.0106,RESINA. FOTOPOLIMERIZABLE PARA RESTAURACIÓN DE DIENTES ANTERIORES Y POSTERIORES. JERINGA 3.5G. LAS INSTITUCIONES PODRÁN ELEGIR LAS VARIANTES DE COLOR Y COMPOSICIÓN.,3,2,31/05/2027,378
VZIM015545,Uneme de Platon Sanchez,material,060.182.0178,"CEMENTO DE IONOMERO, DE VIDRIO RESTAURATIVO II. COLOR NO 21. POLVO 15 G. SILICATO DE ALUMINIO 95% - 97%. ACIDO POLIACRILICO 3% - 5%. LIQUIDO: 10 G, 8 ML. ACIDO POLIACRILICO 75%. ACIDO TARTÁRICO 10% - 15%. BARNIZ COMPATIBLE LIQUIDO 10 G.",3,1,30/06/2027,408
VZIM015545,Uneme de Platon Sanchez,material,060.189.0205,CEPILLOS. PARA PULIDO DE AMALGAMAS Y PROFILAXIS. DE CERDAS NEGRAS EN FORMA DE BROCHA. PARA PIEZA DE MANO. PIEZA.,495,20,31/10/2027,531
VZIM015545,Uneme de Platon Sanchez,material,060.189.0023,CEPILLOS. PARA PULIDO DE AMALGAMAS Y PROFILAXIS. DE CERDAS BLANCAS EN FORMA DE COPA. PARA PIEZA DE MANO. PIEZA,312,20,09/11/2027,540
VZIM015545,Uneme de Platon Sanchez,material,060.276.0050,CUÑAS. DE MADERA PARA ESPACIOS INTERDENTARIOS. ENVASE CON 100 PIEZAS.,2,1,01/12/2027,562
VZIM015545,Uneme de Platon Sanchez,material,060.040.8041,AGUJAS DENTALES. TIPO CARPULE. DESECHABLE. LONGITUD. 20-25 MM CALIBRE: 30 G TAMAÑO: CORTA.,20,1,31/12/2027,592
VZIM015545,Uneme de Platon Sanchez,material,060.189.0031,CEPILLOS. PARA PULIDO DE AMALGAMAS Y PROFILAXIS. DE CERDAS NEGRAS EN FORMA DE BROCHA. PARA CONTRA-ÁNGULO. PIEZA.,650,20,31/12/2027,592
VZIM015545,Uneme de Platon Sanchez,material,060.889.0158,TIRAS. DE CELULOIDE PARA CONFORMAR RESTAURACIONES DE RESINA. ANCHO: 8 A 10 MM CALIBRE:,6,1,28/02/2028,651
