"hospital_clave","hospital_nombre","categoria","uid","clave","descripcion","stock","minimo","fecha","dias_restantes","observaciones","color","manual","saved_at"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"S/C","LAVABO CONTRA MURO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"350.308.0040","DESPCHADOR DE TOALLA DE PAPEL INTERDOBLADA GRANDE",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"511.339.0206","ESCRITORIO CHICO CON PEDESTAL DERECHO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"S/C","CARRO CAJONERO CON RUEDAS",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.065.0052","APLICADOR DE HIDROXIDO DE CALCIO",4,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.079.0015","ARCO YOUNG PORTA DIQUE DE HULE",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.251.0098","CURETA CK-6 DE DOBLE EXTREMO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.2664","ELEVADOR BEIN CON MANGO METALICO RECTO ACALANADO DE 4MM.",1,0,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.0452","ELEVADOR BEIN CON MANGO METALICO RECTO ACANALADO DE 2 O 3 MM ANCHO DE HOJA",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.0957","ELEVADOR TIPO CRYER WHITE DE BANDERA DERECHO HOJA PEQUEÑA",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.1104","ELEVADOR TIPO CRYER WHITE DE BANDERA IZQUIERDO HOJA PEQUEÑA",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.1534","ELEVADOR SELDIN DE BANDERA DERECHO HOJA GRANDE",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.327.1609","ELEVADOR SELDIN DE BANDERA IZQUIERDO HOJA GRANDE",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.370.0029","ESPÁTULA METÁLICA No.3 DOBLE EXTREMO (RECTANGULAR Y PUNTA LANZA)",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.397.0168","EXCAVADOR TIPO WHITE No.17",10,5,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.409.0531","EXPLORADOR DE UNA PIEZA CON DOBLE EXTREMO NO.5",10,3,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0155","FÓRCEPS NO.65",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0189","FÓRCEPS NO. 151",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0221","FÓRCEPS NO.101",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0197","FÓRCEPS NO.150",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0171","FÓRCEPS NO.17",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0411","FÓRCEPS NO.69",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0023","FÓRCEPS. NO 23.",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0460","FÓRCEPS NO.53 DERECHO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.426.0270","FÓRCEPS NO.53 IZQUIERDO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.547.0019","JERINGA CARPULE CON ADAPTADOR PARA AGUJA DESECHABLE",10,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"S/C","JUEGO DE GRAPAS",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.703.9598","PINZA COLLEGE O LONDON-COLLEGE TIPO BAYONETA",10,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.703.7493","PINZA AINSWORTH LONGITUD DE 160 A 165 MM",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.702.0531","PINZA BREWER PORTA GRAPAS PARA DIQUE DE HULE",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"060.830.7237","SONDA PARODONTAL ROMA Y MILIMETRADA DE 1 A 10",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.173.2511","SONDA PERIODONTAL W O WHO.",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","instrumental",NULL,"537.860.0018","TIRAPUENTE MILLER CON TRES PUNTAS DIFERENTES",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"511.232.0022","CESTO DE PAPELES",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"511.814.0127","SILLA FIJA ACOJINADA APILABLE",2,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"S/C","VITRINA DOBLE ESMALTADA DOS PUERTAS SUPERIORES DE CRISTAL CON CERRADURA Y ENTREPAÑOS DE CRISTAL, DOS CAJONES CENTRALES, DOS PUERTAS DE LÁMINA DE HACER O INFERIORES CON ENTREPAÑOS",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"511.836.0295","SILLÓN GIRATORIO DE RESPALDO BAJO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","mobiliario",NULL,"S/C","MESA ALTA CON RESPALDO Y FREGADERO DE 120 CM",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.385.1080","ESTERILIZADOR CON VAPOR AUTOGENERADO PARA DENTAL Y MAXILOFACIAL",1,0,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.291.0028","UNIDAD ESTOMATOLÓGICA CON MÓDULO INTEGRADO",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"515.957.0109","UNIDAD ULTRASÓNICA ESTOMATOLÓGICA",1,0,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.032.0055","MEZCLADOR DE CÁPSULAS DENTALES, TIPO DOSIFICADOR-AMALGAMADOR (MEZCLA CÁPSULAS DE CEMENTO DE IONÓMERO DE VIDRIO Y OTROS CEMENTOS PREDOSIFICADOS EN CÁPSULAS) 4000 RPM",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.601.0056","MANDIL EMPLOMADO",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.341.2305","UNIDAD RADIOLÓGICA DENTAL INCLUYE SENSOR DIGITAL INTRAORAL (RADIOVISIÓGRAFO)",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"S/C","CÁMARA INTRAORAL DIGITAL.",1,NULL,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",2,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"437.480.0034","PIEZA DE MANO DE BAJA VELOCIDAD CON CONTRAÁNGULO",2,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","equipo",NULL,"531.562.0020","LÁMPARA DE FOTOCURADO DE RESINAS Y CEMENTOS FOTOPOLIMERIZABLES",1,1,"",NULL,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","material",NULL,"060.182.0178","CEMENTO DE IONOMERO, DE VIDRIO RESTAURATIVO II. COLOR NO 21. POLVO 15 G. SILICATO DE ALUMINIO 95% - 97%. ACIDO POLIACRILICO 3% - 5%. LIQUIDO: 10 G, 8 ML. ACIDO POLIACRILICO 75%. ACIDO TARTÁRICO 10% - 15%. BARNIZ COMPATIBLE LIQUIDO 10 G.",1,1,"2026-05-31",33,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","material",NULL,"060.066.1078","BARNIZ DE FLUORURO DE SODIO AL 5% EN UNA CONCENTRACIÓN DE 22600 PPM AUTOPOLIMERIZABLE, EN UN VEHÍCULO DE RESINA MODIFICADO.",1,1,"2027-03-20",326,NULL,NULL,False,"2026-04-30 15:54:37.96956"
"VZIM000416","Hospital de la Comunidad Naranjos","material",NULL,"060.016.0204","ACEITES. LUBRICANTE PARA PIEZA DE MANO DE BAJA VELOCIDAD. ENVASE CON APLICADOR CON 120 ML.",3,1,"2027-03-23",329,NULL,NULL,False,"2026-04-30 15:54:37.96956"
