"id","hospital_clave","hospital_nombre","categoria","uid","clave","descripcion","stock","minimo","fecha","dias_restantes","observaciones","color","manual","saved_at"
"2098","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-9kgstu","S/C","TINA ULTRASÓNICA PARA ESTOMATOLOGÍA",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2099","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-3yaqud","531.385.1080","ESTERILIZADOR CON VAPOR AUTOGENERADO PARA DENTAL Y MAXILOFACIAL",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2100","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-6cn1ge","531.291.0028","UNIDAD ESTOMATOLÓGICA CON MÓDULO INTEGRADO",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2101","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-5soegm","515.957.0109","UNIDAD ULTRASÓNICA ESTOMATOLÓGICA",1,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2102","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-hrkzea","531.562.0020","LÁMPARA DE FOTOCURADO DE RESINAS Y CEMENTOS FOTOPOLIMERIZABLES",1,1,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2103","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-y3cpq9","531.291.0424","UNIDAD ESTOMATOLÓGICA PORTÁTIL *",0,0,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2104","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-2tujck","531.032.0055","MEZCLADOR DE CÁPSULAS DENTALES, TIPO DOSIFICADOR-AMALGAMADOR (MEZCLA CÁPSULAS DE CEMENTO DE IONÓMERO DE VIDRIO Y OTROS CEMENTOS PREDOSIFICADOS EN CÁPSULAS) 4000 RPM",1,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2105","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-2nbcif","531.601.0056","MANDIL EMPLOMADO",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2106","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-2exjh6","531.695.0061","PORTA MANDIL",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
"2107","VZIM000691","Hospital de la Comunidad Catemaco","equipo","uid-1778114246475-le9c7o","531.786.0079","REVELADOR MANUAL DE PLACAS DENTALES",0,NULL,"",NULL,"","#FFFFFF",False,"2026-05-07 00:37:49.763596"
