"hospital_clave","hospital_nombre","categoria","clave","descripcion","stock","minimo","fecha","dias_restantes"
"VZIM002330","Centro de Alta Especialidad DR.Rafael Lucio","insumos","S/C","MEPIVACAÃNA 3% SIN VASOCONSTRICTOR. CAJA CON 50 CARTUCHOS DENTALES DE 1.8 ML CADA UNO.",10,NULL,"2026-01-06",-28
"VZIM002330","Centro de Alta Especialidad DR.Rafael Lucio","material","MAN-2zxhla","un aceite de coco",1,NULL,"2026-01-29",-5
"VZIM002330","Centro de Alta Especialidad DR.Rafael Lucio","insumos","","MEPIVACAÃNA 3% SIN VASOCONSTRICTOR. CAJA CON 50 CARTUCHOS DENTALES DE 1.8 ML CADA UNO.",10,NULL,"2026-01-06",-28
"VZIM002330","Centro de Alta Especialidad DR.Rafael Lucio","insumos","","MEPIVACAÃNA 3% SIN VASOCONSTRICTOR. CAJA CON 50 CARTUCHOS DENTALES DE 1.8 ML CADA UNO.",10,NULL,"2026-01-06",-28
"VZIM002330","Centro de Alta Especialidad DR.Rafael Lucio","insumos","","MEPIVACAÃNA 3% SIN VASOCONSTRICTOR. CAJA CON 50 CARTUCHOS DENTALES DE 1.8 ML CADA UNO.",10,NULL,"2026-01-06",-28
"VZIM015545","Uneme de Platon Sanchez","equipo","537.480.0042","PIEZA DE MANO DE ALTA VELOCIDAD",5,1,"2025-08-06",-181
"VZIM015545","Uneme de Platon Sanchez","equipo","515.957.0109","UNIDAD ULTRASÃ“NICA ESTOMATOLÃ“GICA",20,0,"2026-10-17",256
"","","mobiliario","511.232.0022","CESTO DE PAPELES",1,NULL,"",NULL
"","","mobiliario","519.132.0059","BOTE DE CAMPANA",0,NULL,"",NULL
"","","mobiliario","511.814.0127","SILLA FIJA ACOJINADA APILABLE",2,NULL,"",NULL
"","","mobiliario","515.957.0109","VITRINA DE 75 CM CONTRA MURO",0,NULL,"",NULL
"","","mobiliario","511.836.0295","SILLÃ“N GIRATORIO DE RESPALDO BAJO",1,NULL,"",NULL
"","","mobiliario","S/C","VITRINA DOBLE ESMALTADA DOS PUERTAS SUPERIORES DE CRISTAL CON CERRADURA Y ENTREPAÃ‘OS DE CRISTAL, DOS CAJONES CENTRALES, DOS PUERTAS DE LÃMINA DE HACER  O INFERIORES CON ENTREPAÃ‘OS",0,NULL,"",NULL
"","","mobiliario","511.339.0206","ESCRITORIO CHICO CON PEDESTAL DERECHO",1,NULL,"",NULL
"","","mobiliario","S/C","CARRO CAJONERO CON RUEDAS",1,NULL,"",NULL
"","","mobiliario","S/C","MESA ALTA CON RESPALDO Y FREGADERO DE 120 CM",1,NULL,"",NULL
"","","mobiliario","511.076.0203","ARCHIVERO DE 4 GAVETAS",1,NULL,"",NULL
"","","mobiliario","350.308.0040","DESPCHADOR DE TOALLA DE PAPEL INTERDOBLADA GRANDE",1,NULL,"",NULL
"","","mobiliario","S/C","LAVABO CONTRA MURO",1,NULL,"",NULL
"","","mobiliario","S/C","ESPEJO DE PARED",1,NULL,"",NULL
"","","mobiliario","S/C","ESPEJO INDIVIDUAL PARA PACIENTES",0,NULL,"",NULL
"","","mobiliario","S/C","AIRE ACONDICIONADO",1,NULL,"",NULL
"VZIM002120","Hospital Comunitario de Ixhuatlan del Sureste","material","060.040.8058","AGUJAS DENTAL .TIPO CARPULE. DESECHABLE. LONGITUD. 25-42 MM CALIBRE. 27 G TAMAÃ‘O. LARGA.",NULL,1,"2026-11-19",289
"VZIM002120","Hospital Comunitario de Ixhuatlan del Sureste","material","060.182.1150","CEMENTOS PROTECTOR PULPAR PARA SELLAR CAVIDADES DENTALES. DE HIDRÃ“XIDO DE CALCIO, COMPUESTO Y APLICADOR AUTOPOLIMERIZABLE, DOS PASTAS SEMILÃQUIDAS, BASE 13 DESECHABLE G Y CATALIZADOR 11 G CON BLOQUE DE PAPEL PARA MEZCLAR.",NULL,1,"2027-04-03",424
"HOSPITALGENERALCARDEL","HOSPITALGENERALCARDEL","insumos","S/C","MEPIVACAÃNA 3% SIN VASOCONSTRICTOR. CAJA CON 50 CARTUCHOS DENTALES DE 1.8 ML CADA UNO.",45,NULL,"2026-01-21",-13
"VZIM016035","Hospital General Alamo","material","","CEMENTOS PROTECTOR PULPAR PARA SELLAR CAVIDADES DENTALES. DE HIDRÃ“XIDO DE CALCIO, COMPUESTO Y APLICADOR AUTOPOLIMERIZABLE, DOS PASTAS SEMILÃQUIDAS, BASE 13 DESECHABLE G Y CATALIZADOR 11 G CON BLOQUE DE PAPEL PARA MEZCLAR.",7,1,"2026-03-17",42
"VZIM016035","Hospital General Alamo","material","","FLUORURO DE SODIO. PARA PREVENCIÃ“N DE CARIES. ACIDULADO AL 2%. EN GEL DE SABOR. ENVASE CON 480 ML.",9,1,"2026-04-02",58
"VZIM016035","Hospital General Alamo","material","","CEMENTOS. IONÃ“MERO DE VIDRIO RESTAURATIVO TIPO II. PARA TRATAMIENTO RESTAURATIVO ATRAUMÃTICO (TRA). PARA RESTAURACIONES INTERMEDIAS. PARA BASES. PARA ODONTOLOGÃA MÃNIMAMENTE INVASIVA (OMI). TONO A3 . POLVO GRANULADO RADIOPACO: 12.5 G. VIDRIO DE FLUOROSILICATO DE CALCIO LANTANO. ALUMINIO RECUBIERTO 90% . ÃCIDO POLIACRÃLICO. 10% ÃCIDO BENZÃ“ICO <0.1% PIGMENTOS <0.1% LÃQUIDO DE 8.5 ML (10GR). AGUA  55%-65%  COPOLÃMERO  DE  ÃCIDO ACRÃLICO  Y ÃCIDO MALÃ‰ICO. 25-35% ÃCIDO TARTÃRICO. 9.1% ÃCIDO BENZÃ“ICO. 0.1% LOSETA DE PAPEL ENCERADO CUCHARILLA DISPENSADORA GUÃA DE APLICACIÃ“N E INSTRUCTIVO. ESTUCHE.",1,1,"2026-05-01",87
"VZIM016035","Hospital General Alamo","material","060.749.0703","PASTAS. PARA PROFILAXIS DENTAL. ABRASIVA. CON ABRASIVOS BLANDOS.  ENVASE CON 200 G.",6,2,"2026-05-31",117
"VZIM016035","Hospital General Alamo","material","","SELLADORES. DE FISURAS Y FOSETAS. ENVASE CON 3 ML DE BOND BASE. ENVASE CON 3 ML DE SELLADOR DE FISURAS. 2 ENVASES CON 3 ML CADA UNO CON BOND CATALIZADOR. JERINGA CON 2 ML DE GEL GRABADOR. 2 PORTAPINCELES. 10 CÃNULAS. 1 BLOCK DE MEZCLA. 5 POZOS DE MEZCLA. 30 PINCELES. 1 INSTRUCTIVO. ESTUCHE.",2,0,"2026-09-09",218
"VZIM016035","Hospital General Alamo","material","","COPAS. PARA PIEZA DE MANO. DE HULE SUAVE BLANCO EN FORMA DE CONO.",20,5,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESA DE CARBURO, PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD, FORMA DE PERA, NO. 331.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO FORMA DE CONO INVERTIDO. NO. 33 1/2.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA CILÃNDRICA NO. 556.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA CILÃNDRICA NO. 557.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA DE CONO INVERTIDO. NO. 37 L.",129,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA REDONDA NO. Â½.",12,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA REDONDA NO. 3.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA REDONDA NO. 5.",24,NULL,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, FORMA TRONCO CÃ“NICO NO.701.",36,0,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, NO. 559.",48,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE CARBURO, PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD, FORMA DE PERA, NO. 330.",60,0,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE DIAMANTE, GRANO GRUESO, FORMA DE CONO INVERTIDO, NO. 010.",12,3,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE DIAMANTE, PARA TERMINACIÃ“N DE COMPOSITES FORMA CILÃNDRICA NO. 012",42,0,"2026-12-31",331
"VZIM016035","Hospital General Alamo","material","","FRESAS DENTALES PARA UTILIZARSE EN LA PIEZA DE MANO DE ALTA VELOCIDAD. DE DIAMANTE, PARA TERMINACIÃ“N DE COMPOSITES FORMA CILÃNDRICA NO. 018",56,0,"2026-12-31",331
